CountryName,CountryCode,Year,Total Population,Urban population (% of total),
Arab World,ARB,1960,92495902,31.28538421,
Caribbean small states,CSS,1960,4190810,31.59748985,
Central Europe and the Baltics,CEB,1960,91401583,44.50792114,
East Asia & Pacific (all income levels),EAS,1960,1042475394,22.4711322,
East Asia & Pacific (developing only),EAP,1960,896492991,16.91767885,
Euro area,EMU,1960,265396501,62.0969469,
Europe & Central Asia (all income levels),ECS,1960,667489033,55.37897745,
Europe & Central Asia (developing only),ECA,1960,155317369,38.06612869,
European Union,EUU,1960,409498462,61.21289776,
Fragile and conflict affected situations,FCS,1960,120354582,17.89197225,
Heavily indebted poor countries (HIPC),HPC,1960,162491185,12.2360458,
High income,HIC,1960,907597507,62.68033182,
High income: nonOECD,NOC,1960,186676748,56.10786348,
High income: OECD,OEC,1960,720920759,64.28543452,
Latin America & Caribbean (all income levels),LCN,1960,220564224,49.28468839,
Latin America & Caribbean (developing only),LAC,1960,177682238,44.86330817,
Least developed countries: UN classification,LDC,1960,241072814,9.616261212,
Low & middle income,LMY,1960,2127373057,21.27289388,
Low income,LIC,1960,157188433,11.49839625,
