rest_name,rest_addr,city,phone,cuisine_type
kokomo,6333 w. third st.,la,2139330773,american
feenix,8358 sunset blvd. west,hollywood,2138486677,american
parkway,510 s. arroyo pkwy .,pasadena,8187951001,californian
r-23,923 e. third st.,los angeles,2136877178,japanese
gumbo,6333 w. third st.,la,2139330358,cajun/creole
feast,1949 westwood blvd.,west la,3104750400,    chinese
mulberry,17040 ventura blvd.,encino,8189068881,      pizza
matsuhissa,129 n. la cienega blvd.,beverly hills,3106599639,      asian
jiraffe,502 santa monica blvd,santa monica,3109176671,californian
martha's,22nd street grill 25 22nd,st. hermosa beach,3103767786,   american
